品种,品种编码,日期,市场,批发价_元公斤,是否江苏周边
活鳜鱼,AM01013003,2026-07-22,江苏凌家塘市场发展有限公司,84,True
活鳜鱼,AM01013003,2026-07-22,江西九江琵琶湖农产品物流有限公司,58,False
活鳜鱼,AM01013003,2026-07-22,乌鲁木齐北园春果业经营管理有限责任公司,120,False
淡水鲈鱼,AM01009,2026-07-22,长治市紫坊农产品综合交易市场有限公司,33,False
淡水鲈鱼,AM01009,2026-07-22,马鞍山市安民农副产品贸易有限公司,22,True
淡水鲈鱼,AM01009,2026-07-22,云南华潮实业有限公司,30,False
鲈鱼(海水),AM02005,2026-07-22,宁夏四季鲜农产品综合批发市场,40,False
鲈鱼(海水),AM02005,2026-07-22,龙门实业（集团）有限公司西三街农副水产品市场,44,False
鲈鱼(海水),AM02005,2026-07-22,北京朝阳区大洋路综合市场,31,False
鲈鱼(海水),AM02005,2026-07-22,青岛市城阳蔬菜水产品批发市场有限公司,44,False
鲈鱼(海水),AM02005,2026-07-22,山东滨州(六街）鲁北蔬菜批发市场,26,False
鲈鱼(海水),AM02005,2026-07-22,山东威海水产品批发市场,40,False
鲈鱼(海水),AM02005,2026-07-22,安徽合肥周谷堆农产品批发市场,22.5,True
鲈鱼(海水),AM02005,2026-07-22,江苏凌家塘市场发展有限公司,27,True
鲈鱼(海水),AM02005,2026-07-22,江苏苏州南环桥农副产品批发市场,23.5,True
鲈鱼(海水),AM02005,2026-07-22,河南万邦国际农产品物流股份有限公司,33,False
鲈鱼(海水),AM02005,2026-07-22,甘肃酒泉春光农产品市场有限责任公司,60,False
活鳜鱼,AM01013003,2026-07-27,江苏凌家塘市场发展有限公司,78,True
活鳜鱼,AM01013003,2026-07-27,江西九江琵琶湖农产品物流有限公司,56,False
活鳜鱼,AM01013003,2026-07-27,乌鲁木齐北园春果业经营管理有限责任公司,120,False
淡水鲈鱼,AM01009,2026-07-27,长治市紫坊农产品综合交易市场有限公司,33,False
淡水鲈鱼,AM01009,2026-07-27,马鞍山市安民农副产品贸易有限公司,20,True
淡水鲈鱼,AM01009,2026-07-27,云南华潮实业有限公司,32,False
鲈鱼(海水),AM02005,2026-07-27,龙门实业（集团）有限公司西三街农副水产品市场,45,False
鲈鱼(海水),AM02005,2026-07-27,北京朝阳区大洋路综合市场,31.1,False
鲈鱼(海水),AM02005,2026-07-27,青岛市城阳蔬菜水产品批发市场有限公司,50,False
鲈鱼(海水),AM02005,2026-07-27,山东滨州(六街）鲁北蔬菜批发市场,26,False
鲈鱼(海水),AM02005,2026-07-27,山东威海水产品批发市场,40,False
鲈鱼(海水),AM02005,2026-07-27,安徽合肥周谷堆农产品批发市场,22.5,True
鲈鱼(海水),AM02005,2026-07-27,江苏凌家塘市场发展有限公司,27,True
鲈鱼(海水),AM02005,2026-07-27,江苏苏州南环桥农副产品批发市场,23.5,True
鲈鱼(海水),AM02005,2026-07-27,河南万邦国际农产品物流股份有限公司,33,False
鲈鱼(海水),AM02005,2026-07-27,甘肃酒泉春光农产品市场有限责任公司,60,False
