品种,品种编码,日期,市场,批发价_元公斤,是否江苏周边
活鳜鱼,AM01013003,2026-08-13,江苏凌家塘市场发展有限公司,86,True
活鳜鱼,AM01013003,2026-08-13,江西九江琵琶湖农产品物流有限公司,60,False
活鳜鱼,AM01013003,2026-08-13,乌鲁木齐北园春果业经营管理有限责任公司,120,False
淡水鲈鱼,AM01009,2026-08-13,长治市紫坊农产品综合交易市场有限公司,33,False
淡水鲈鱼,AM01009,2026-08-13,马鞍山市安民农副产品贸易有限公司,22,True
淡水鲈鱼,AM01009,2026-08-13,云南华潮实业有限公司,33,False
鲈鱼(海水),AM02005,2026-08-13,宁夏四季鲜农产品综合批发市场,38,False
鲈鱼(海水),AM02005,2026-08-13,龙门实业（集团）有限公司西三街农副水产品市场,40,False
鲈鱼(海水),AM02005,2026-08-13,北京朝阳区大洋路综合市场,32,False
鲈鱼(海水),AM02005,2026-08-13,青岛市城阳蔬菜水产品批发市场有限公司,44,False
鲈鱼(海水),AM02005,2026-08-13,山东滨州(六街）鲁北蔬菜批发市场,25,False
鲈鱼(海水),AM02005,2026-08-13,山东威海水产品批发市场,40,False
鲈鱼(海水),AM02005,2026-08-13,安徽合肥周谷堆农产品批发市场,22.5,True
鲈鱼(海水),AM02005,2026-08-13,江苏凌家塘市场发展有限公司,27,True
鲈鱼(海水),AM02005,2026-08-13,江苏苏州南环桥农副产品批发市场,23.5,True
鲈鱼(海水),AM02005,2026-08-13,河南万邦国际农产品物流股份有限公司,29,False
鲈鱼(海水),AM02005,2026-08-13,甘肃酒泉春光农产品市场有限责任公司,59,False
